"fraudulent","customer__customerEmail","customer__customerPhone","customer__customerDevice","customer__customerIPAddress","customer__customerBillingAddress","orders__orderId","orders__orderAmount","orders__orderState","orders__orderShippingAddress","paymentMethods__paymentMethodId","paymentMethods__paymentMethodRegistrationFailure","paymentMethods__paymentMethodType","paymentMethods__paymentMethodProvider","paymentMethods__paymentMethodIssuer","transactions__transactionId","transactions__orderId","transactions__paymentMethodId","transactions__transactionAmount","transactions__transactionFailed"
"False","josephhoward@yahoo.com","400-108-5415","yyeiaxpltf82440jnb3v","8.129.104.40","5493 Jones Islands\nBrownside, CA 51896","vjbdvd","18","pending","5493 Jones Islands\nBrownside, CA 51896","wt07xm68b","True","card","JCB 16 digit","Citizens First Banks","a9lcj51r","vjbdvd","wt07xm68b","18","False"
"","","","","","","yp6x27","26","fulfilled","5493 Jones Islands\nBrownside, CA 51896","","","","","","y4wcv03i","yp6x27","wt07xm68b","26","False"
"True","evansjeffery@yahoo.com","1-788-091-7546","r0jpm7xaeqqa3kr6mzum","219.173.211.202","356 Elizabeth Inlet Suite 120\nPort Joshuabury, NM 37681","nlghpa","45","fulfilled","898 Henry Ports\nNew Keithview, CA 95893-2497","y3xp697jx","True","bitcoin","VISA 16 digit","Solace Banks","5mi94sfw","nlghpa","41ug157xz","45","False"
"","","","","","","uw0eeb","23","fulfilled","356 Elizabeth Inlet Suite 120\nPort Joshuabury, NM 37681","6krszxc05","False","card","VISA 16 digit","Vertex Bancorp","br8ba1nu","uw0eeb","41ug157xz","23","False"
"","","","","","","bn44oh","43","fulfilled","5093 Bryan Forks\nJoshuaton, FM 01565-9801","5z1szj2he","False","card","Diners Club / Carte Blanche","His Majesty Bank Corp.","a33145ss","bn44oh","y3xp697jx","43","True"
"","","","","","","","","","","m52tx8e1s","False","card","Mastercard","Vertex Bancorp","","","","",""
"","","","","","","","","","","41ug157xz","False","bitcoin","American Express","Bastion Banks","","","","",""
"","","","","","","","","","","4dpg5sx2b","False","card","Maestro","Her Majesty Trust","","","","",""
"","","","","","","","","","","bcx9pa3wf","False","card","JCB 16 digit","Fountain Financial Inc.","","","","",""
"False","andersonwilliam@yahoo.com","024.420.0375","4m7h5ipl1shyavt6vv2r","67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0","8478 Sean Ridges Apt. 441\nDavisberg, PR 72250","yk34y2","33","failed","8478 Sean Ridges Apt. 441\nDavisberg, PR 72250","8pneoi03z","False","card","JCB 16 digit","Bastion Banks","q3lyvbza","yk34y2","8pneoi03z","33","False"
"","","","","","","28v6b0","24","fulfilled","8478 Sean Ridges Apt. 441\nDavisberg, PR 72250","dluy3jka0","False","card","Discover","His Majesty Bank Corp.","3alf9irw","28v6b0","8pneoi03z","24","True"
"","","","","","","itnk8y","25","fulfilled","22396 Victor Lights\nCarsonstad, MO 93914","","","","","","69w9wymx","28v6b0","8pneoi03z","24","False"
"","","","","","","","","","","","","","","","pegqc4ud","itnk8y","dluy3jka0","25","True"
"","","","","","","","","","","","","","","","uo3slwh7","itnk8y","8pneoi03z","25","False"
"False","rubenjuarez@yahoo.com","670.664.8168x94985","slovx60t0i558may4ks0","95de:8565:5a66:792c:26e0:6cfb:7d87:11af","7769 Elizabeth Bridge Apt. 343\nNortonstad, FM 51359","fbz9ep","34","fulfilled","7769 Elizabeth Bridge Apt. 343\nNortonstad, FM 51359","pdxjdwui4","False","card","Voyager","Grand Credit Corporation","vx4cjc27","fbz9ep","pdxjdwui4","34","False"
"","","","","","","7odnn6","26","fulfilled","7769 Elizabeth Bridge Apt. 343\nNortonstad, FM 51359","","","","","","yiay9b0n","7odnn6","pdxjdwui4","26","False"
"","","","","","","audx7o","25","fulfilled","428 Ricardo Mountain\nPort Lorihaven, UT 07665-3981","","","","","","sn3v0ql2","audx7o","pdxjdwui4","25","False"
"True","uchen@malone.com","1-981-877-0870","j0pd24k5h8dl2fqu0cz4","196.89.235.192","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","56h7iw","71","fulfilled","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","w1i1zq3rg","False","apple pay","American Express","Grand Credit Corporation","q8j3dgni","56h7iw","olr4zf09x","71","False"
"","","","","","","kowj1v","66","fulfilled","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","7o30osjpd","False","apple pay","JCB 16 digit","His Majesty Bank Corp.","xjulqy8x","kowj1v","gehl28i8u","66","True"
"","","","","","","wlznfu","69","failed","148 Russell Lodge Apt. 445\nPort Jenniferside, TN 60556-0871","76bw9eqg2","False","apple pay","VISA 16 digit","His Majesty Bank Corp.","rvm65vr1","wlznfu","gehl28i8u","69","False"
